oppid,CompName,closedate,OppStage,OppName,Desc,amount,prob
100,Katz,6/10/2022,Lost,Reactive background protocol,unleash compelling bandwidth,7176042,20
101,Shuffletag,11/1/2022,Upside,Exclusive bifurcated capability,streamline global deliverables,781911,100
102,Skyba,9/24/2022,Upside,De-engineered systematic algorithm,deploy intuitive users,4774841,60
103,Wikizz,7/22/2022,Open,Organized static system engine,disintermediate dynamic experiences,8042381,20
104,Tagtune,2/27/2022,Commit,Implemented neutral attitude,whiteboard end-to-end experiences,8381552,20
105,Feedfire,7/5/2022,Won,Expanded asymmetric project,implement 24/7 action-items,1380487,80
106,Eire,1/17/2023,Upside,Profound neutral conglomeration,deliver rich channels,7496516,40
107,Yadel,10/17/2022,Open,Digitized coherent intranet,scale seamless e-commerce,2363375,80
108,Dazzlesphere,8/14/2022,Lost,Seamless content-based data-warehouse,exploit virtual e-business,8374417,40
109,Yakijo,4/20/2022,Discovery,Ergonomic systemic success,transition visionary methodologies,7777162,20
110,Riffpedia,2/23/2022,Upside,Optimized intermediate utilisation,streamline vertical web services,6690297,40
111,Ooba,6/4/2022,Lost,Synergistic 24/7 benchmark,orchestrate plug-and-play communities,8535443,60
112,Skivee,11/24/2022,Upside,Phased 24/7 frame,grow mission-critical functionalities,1876292,40
113,Centizu,7/14/2022,Upside,Ameliorated optimal model,unleash world-class e-tailers,4061930,80
114,Edgetag,2/19/2022,Discovery,Multi-layered local core,leverage 24/365 solutions,643077,60
115,Brightdog,1/28/2022,Discovery,Function-based 6th generation orchestration,utilize one-to-one mindshare,2268972,60
116,Plajo,2/8/2022,Discovery,Monitored client-server function,expedite next-generation eyeballs,3224351,100
117,Zoozzy,9/6/2022,Commit,De-engineered full-range standardization,integrate integrated content,7042710,60
118,Yacero,11/24/2022,Commit,Right-sized homogeneous structure,disintermediate compelling initiatives,9429934,20
119,Jazzy,12/11/2022,Upside,Centralized background knowledge user,incentivize efficient partnerships,5610168,60
120,Kwimbee,4/17/2022,Commit,Monitored fresh-thinking core,benchmark innovative e-services,8050637,20
121,Eimbee,12/16/2022,Discovery,Switchable eco-centric support,embrace strategic web-readiness,5504422,100
122,Eire,10/16/2022,Commit,Organic scalable benchmark,generate plug-and-play portals,5659145,100
123,Rhybox,3/7/2023,Discovery,Horizontal client-server pricing structure,brand sticky supply-chains,8750890,20
124,Gevee,3/7/2023,Discovery,Switchable mobile structure,cultivate visionary technologies,2975137,20
125,Oodoo,8/29/2022,Won,Grass-roots optimizing infrastructure,revolutionize interactive paradigms,445398,20
126,Jayo,7/13/2022,Upside,Proactive incremental algorithm,reinvent vertical infomediaries,4212737,80
127,Tagfeed,5/24/2022,Discovery,Adaptive 4th generation solution,embrace mission-critical architectures,7860236,80
128,Linktype,10/15/2022,Upside,Intuitive background collaboration,e-enable integrated eyeballs,509373,80
129,Dabfeed,11/7/2022,Lost,Intuitive 24 hour secured line,integrate end-to-end portals,9324875,80
130,Dabshots,9/7/2022,Lost,Multi-tiered grid-enabled extranet,reintermediate sticky users,577882,20
131,Twimbo,3/11/2023,Open,Open-source 5th generation local area network,leverage vertical convergence,614713,40
132,Realcube,2/19/2023,Commit,Operative intermediate knowledge user,implement dot-com web services,1482810,100
133,Vimbo,1/10/2022,Commit,Programmable bi-directional project,disintermediate granular interfaces,3237306,20
134,Demivee,8/14/2022,Upside,Universal maximized contingency,productize clicks-and-mortar initiatives,2362112,80
135,Devcast,11/16/2022,Open,Object-based next generation artificial intelligence,drive 24/365 infomediaries,3581622,40
136,Realcube,11/27/2022,Commit,Cloned mission-critical parallelism,iterate compelling ROI,3646902,40
137,Riffwire,6/2/2022,Discovery,Programmable client-server software,brand magnetic applications,4204639,20
138,Jabbersphere,8/30/2022,Won,Quality-focused dedicated initiative,redefine rich infrastructures,8700248,100
139,Babbleopia,1/8/2023,Upside,Customer-focused leading edge initiative,recontextualize virtual e-business,3630901,40
140,Youfeed,11/17/2022,Lost,Sharable national product,engage sexy systems,7982225,40
141,Jayo,1/9/2023,Won,Enterprise-wide reciprocal intranet,repurpose world-class communities,7623019,80
142,Skyba,12/15/2022,Open,Open-architected 4th generation hierarchy,e-enable interactive models,1583543,80
143,Photobug,11/21/2022,Lost,Secured incremental instruction set,enable next-generation e-commerce,1689692,20
144,Topicware,1/27/2022,Won,Function-based directional hub,cultivate best-of-breed technologies,4787582,80
145,Minyx,12/13/2022,Upside,Integrated holistic challenge,evolve bleeding-edge interfaces,8206901,40
146,Topdrive,8/20/2022,Discovery,Function-based demand-driven pricing structure,grow best-of-breed platforms,6174259,40
147,Photobean,3/13/2023,Commit,Implemented 24/7 pricing structure,leverage real-time infomediaries,3122862,60
148,Avavee,7/17/2022,Open,User-centric incremental policy,harness extensible vortals,3966920,60
149,Jaxbean,6/15/2022,Lost,Programmable logistical functionalities,repurpose sexy networks,7836415,20
150,Blogtags,9/11/2022,Upside,Seamless holistic local area network,target proactive platforms,6586771,80
151,Eamia,6/18/2022,Upside,Triple-buffered solution-oriented encoding,revolutionize mission-critical technologies,7413387,20
152,Babbleopia,5/10/2022,Won,Monitored clear-thinking solution,facilitate 24/7 metrics,7141734,80
153,Wordpedia,1/9/2023,Lost,Stand-alone radical data-warehouse,empower front-end infomediaries,3980019,40
154,Mymm,1/25/2022,Upside,Monitored 3rd generation utilisation,productize dynamic web-readiness,5377561,20
155,Skyble,6/4/2022,Open,Fully-configurable non-volatile ability,deliver turn-key e-business,7445325,60
156,Yambee,10/8/2022,Upside,Ergonomic dedicated initiative,iterate synergistic content,6386866,60
157,Meezzy,2/4/2023,Open,Persistent uniform internet solution,innovate plug-and-play schemas,1939682,20
158,Jaxworks,5/18/2022,Upside,Profit-focused hybrid neural-net,seize strategic content,337412,100
159,Yambee,10/28/2022,Lost,Devolved zero administration knowledge base,generate 24/365 paradigms,8963087,40
160,Brightbean,12/14/2022,Commit,Virtual scalable standardization,streamline ubiquitous convergence,1002506,80
161,Quamba,8/4/2022,Open,Multi-lateral global contingency,transform transparent methodologies,2209659,60
162,Thoughtsphere,11/23/2022,Open,Devolved scalable core,redefine interactive niches,5271725,60
163,Vipe,8/31/2022,Open,Automated systemic parallelism,reintermediate customized users,5709373,40
164,Trilia,10/27/2022,Won,Synergistic hybrid utilisation,architect mission-critical e-markets,7829877,100
165,Yoveo,5/31/2022,Discovery,Synchronised coherent customer loyalty,disintermediate enterprise mindshare,7565877,40
166,Tavu,1/21/2022,Won,Cross-platform optimizing emulation,embrace efficient partnerships,8650491,20
167,Gabspot,5/4/2022,Commit,Synchronised global projection,syndicate 24/7 e-tailers,912586,20
168,Roomm,3/20/2022,Won,Seamless 24 hour contingency,envisioneer viral bandwidth,2808642,20
169,Voonyx,3/29/2022,Commit,Down-sized systemic functionalities,syndicate mission-critical platforms,1508692,80
170,Kaymbo,1/7/2023,Commit,Cross-group 4th generation flexibility,reinvent real-time models,396857,100
171,Photofeed,11/30/2022,Lost,Seamless background extranet,envisioneer killer models,4043143,20
172,Wordware,11/24/2022,Upside,Mandatory encompassing functionalities,streamline back-end markets,8166275,80
173,Eamia,9/12/2022,Upside,Profit-focused secondary task-force,synergize cutting-edge eyeballs,2544832,60
174,Zoovu,3/2/2023,Discovery,Business-focused value-added frame,reintermediate sexy web-readiness,9950359,80
175,Skidoo,12/25/2022,Won,Function-based cohesive application,innovate best-of-breed supply-chains,3763618,100
176,Skiba,12/26/2022,Upside,Upgradable optimal infrastructure,redefine next-generation interfaces,831924,20
177,Edgeblab,11/3/2022,Commit,Re-contextualized hybrid knowledge user,implement killer web-readiness,6842327,60
178,Gigazoom,12/24/2022,Open,Object-based foreground hub,generate collaborative deliverables,1991877,20
179,Dazzlesphere,3/10/2023,Won,Ameliorated 3rd generation instruction set,brand next-generation web-readiness,8804964,100
180,Twitterbridge,3/15/2022,Discovery,Balanced discrete orchestration,architect B2B platforms,3496567,60
181,Babbleset,2/6/2022,Commit,Horizontal 5th generation conglomeration,cultivate world-class e-business,9575459,100
182,Talane,4/29/2022,Commit,Secured client-server software,engineer transparent functionalities,5075574,20
183,Browsedrive,8/24/2022,Won,Vision-oriented intangible structure,generate efficient bandwidth,2538434,20
184,Meevee,9/11/2022,Won,Polarised demand-driven time-frame,utilize seamless models,5302083,20
185,Edgeclub,8/10/2022,Upside,Right-sized even-keeled hardware,incubate open-source ROI,967784,40
