CompName,closedate,OppStage,OppName,Desc,amount,prob
Topicstorm,1/29/22,Lost,Expanded content-based archive,deliver synergistic ROI,6718409,100
Buzzster,7/30/22,Commit,Seamless methodical functionalities,synergize web-enabled portals,5637175,40
Twimm,2/1/22,Lost,Innovative bi-directional help-desk,optimize enterprise technologies,8651706,80
Janyx,4/28/22,Discovery,Synergized mission-critical moratorium,reinvent intuitive web-readiness,2274896,20
Realfire,2/22/22,Upside,Public-key system-worthy support,reinvent intuitive applications,6879320,40
Livepath,12/24/22,Upsdie,Stand-alone solution-oriented flexibility,unleash sticky ROI,4751386,100
Flipbug,6/17/22,Open,Total radical data-warehouse,repurpose value-added e-business,149537,40
Feedfire,3/23/22,Discovery,Implemented demand-driven projection,harness global methodologies,8423750,40
DabZ,2/23/23,Upside,Polarised bottom-line success,matrix innovative functionalities,2698612,20
Twinte,6/26/22,Open,Implemented value-added flexibility,deliver one-to-one schemas,450000,60
Quinu,10/11/22,Won,Proactive tertiary local area network,reinvent dot-com vortals,9304687,40
Katz,3/8/23,Upside,Cloned transitional functionalities,recontextualize B2B deliverables,9612234,60
Dynabox,9/3/22,Open,Organized 24 hour firmware,transform best-of-breed convergence,1566164,60
Rhyzio,5/6/22,Won,Devolved heuristic throughput,whiteboard strategic ROI,9777298,70
Gevee,7/9/22,Won,Optimized clear-thinking focus group,transform bricks-and-clicks experiences,490584,60
Realpoint,1/5/22,Won,Adaptive tangible emulation,morph virtual e-business,5764334,100
Dabshots,5/24/22,Discovery,Decentralized fresh-thinking circuit,generate user-centric web services,4771496,80
Blognation,10/17/22,Commit,Function-based modular benchmark,disintermediate cross-platform supply-chains,7951623,20
Wikizz,12/11/22,Lost,Virtual web-enabled structure,whiteboard magnetic methodologies,1619825,60
Jamia,12/2/22,Discovery,Visionary content-based process improvement,cultivate visionary infrastructures,8746766,20
Tavu,12/27/22,Commit,Polarised 6th generation structure,monetize impactful communities,4149073,20
Camido,5/29/22,Commit,Stand-alone zero administration contingency,benchmark cutting-edge solutions,9186069,80
Mycat,8/16/22,Open,Balanced web-enabled challenge,deploy B2C infomediaries,6320263,60
Meejo,1/14/22,Won,Centralized maximized structure,aggregate cross-platform bandwidth,1507726,80
