CompName,closedate,OppStage,OppName,Desc,amount,prob
Topicstorm,01/29/2022,Lost,Expanded content-based archive,deliver synergistic ROI,6718409,100
Buzzster,07/30/2022,Commit,Seamless methodical functionalities,synergize web-enabled portals,5637175,40
Twimm,02/01/2022,Lost,Innovative bi-directional help-desk,optimize enterprise technologies,8651706,80
Janyx,04/28/2022,Discovery,Synergized mission-critical moratorium,reinvent intuitive web-readiness,2274896,20
Realfire,02/22/2022,Upside,Public-key system-worthy support,reinvent intuitive applications,6879320,40
Livepath,12/24/2022,Open,Stand-alone solution-oriented flexibility,unleash sticky ROI,4751386,100
Flipbug,06/17/2022,Open,Total radical data-warehouse,repurpose value-added e-business,149537,40
Feedfire,03/23/2022,Discovery,Implemented demand-driven projection,harness global methodologies,8423750,40
DabZ,02/23/2023,Upside,Polarised bottom-line success,matrix innovative functionalities,2698612,20
Twinte,06/26/2022,Open,Implemented value-added flexibility,deliver one-to-one schemas,3574857,60
Quinu,10/11/2022,Won,Proactive tertiary local area network,reinvent dot-com vortals,9304687,40
Katz,03/08/2023,Upside,Cloned transitional functionalities,recontextualize B2B deliverables,9612234,60
Dynabox,09/03/2022,Open,Organized 24 hour firmware,transform best-of-breed convergence,1566164,60
Rhyzio,05/06/2022,Won,Devolved heuristic throughput,whiteboard strategic ROI,9777298,80
Gevee,07/09/2022,Won,Optimized clear-thinking focus group,transform bricks-and-clicks experiences,490584,60
Realpoint,01/05/2022,Won,Adaptive tangible emulation,morph virtual e-business,5764334,100
Dabshots,05/24/2022,Discovery,Decentralized fresh-thinking circuit,generate user-centric web services,4771496,80
Blognation,10/17/2022,Commit,Function-based modular benchmark,disintermediate cross-platform supply-chains,7951623,20
Wikizz,12/11/2022,Lost,Virtual web-enabled structure,whiteboard magnetic methodologies,1619825,60
Jamia,12/02/2022,Discovery,Visionary content-based process improvement,cultivate visionary infrastructures,8746766,20
Tavu,12/27/2022,Commit,Polarised 6th generation structure,monetize impactful communities,4149073,20
Camido,05/29/2022,Commit,Stand-alone zero administration contingency,benchmark cutting-edge solutions,9186069,80
Mycat,08/16/2022,Open,Balanced web-enabled challenge,deploy B2C infomediaries,6320263,60
Meejo,01/14/2022,Won,Centralized maximized structure,aggregate cross-platform bandwidth,1507726,80
Skipstorm,03/13/2023,Commit,Robust leading edge knowledge user,envisioneer compelling architectures,4086382,40
Gigashots,01/28/2022,Commit,Diverse intermediate frame,strategize 24/7 solutions,3445436,60
Blogtags,10/09/2022,Won,Centralized multimedia frame,matrix innovative schemas,2585144,100
Skyndu,02/07/2022,Won,Persevering heuristic focus group,aggregate innovative architectures,8916580,40
Bluejam,09/01/2022,Open,Focused fault-tolerant firmware,architect vertical infrastructures,4933859,60
Zazio,01/21/2023,Commit,De-engineered bottom-line internet solution,integrate e-business bandwidth,7764612,20
Jaxbean,02/22/2022,Discovery,Self-enabling optimal projection,reinvent customized vortals,2585555,80
Muxo,10/27/2022,Lost,Vision-oriented 24/7 synergy,integrate user-centric functionalities,9657469,100
Divanoodle,06/26/2022,Open,Configurable real-time superstructure,productize bricks-and-clicks initiatives,8679246,20
Mita,09/20/2022,Commit,Quality-focused context-sensitive algorithm,transform innovative architectures,5211403,60
Gabcube,02/05/2023,Lost,Reverse-engineered intangible framework,grow cutting-edge supply-chains,4527054,40
Demivee,10/14/2022,Open,Customizable human-resource budgetary management,cultivate virtual infrastructures,1119159,20
Gigashots,03/02/2023,Open,Front-line tertiary flexibility,deliver bleeding-edge supply-chains,1336940,40
Browseblab,12/06/2022,Won,Distributed foreground process improvement,engage robust mindshare,8895831,60
Skalith,03/10/2023,Upside,Intuitive zero administration utilisation,scale global mindshare,2180989,80
Fivespan,07/16/2022,Upside,Open-architected 5th generation contingency,productize interactive synergies,3574497,60
Skinix,11/25/2022,Discovery,Multi-channelled local migration,enhance world-class ROI,3562113,40
Realcube,09/17/2022,Open,Advanced zero administration emulation,engage compelling markets,854394,100
Centimia,10/06/2022,Discovery,Universal scalable portal,reinvent plug-and-play systems,841412,40
Kamba,03/14/2022,Upside,Seamless zero tolerance product,enable extensible functionalities,8368190,80
Aivee,01/22/2022,Won,Pre-emptive dedicated system engine,seize magnetic ROI,5085818,100
Omba,03/07/2022,Won,User-friendly executive service-desk,deliver collaborative experiences,4467196,60
Babblestorm,06/10/2022,Upside,De-engineered mobile portal,grow integrated functionalities,6412844,60
Gigashots,08/22/2022,Lost,Sharable bi-directional data-warehouse,redefine scalable methodologies,2291561,60
Mycat,03/03/2022,Commit,Digitized heuristic workforce,enable cross-media partnerships,5526543,60
Tagopia,03/15/2023,Won,Multi-lateral bi-directional portal,exploit efficient e-markets,4003867,80
Dabshots,08/03/2022,Won,Face to face next generation complexity,target sexy supply-chains,4513519,40
Skyndu,09/07/2022,Commit,Fundamental incremental strategy,embrace virtual infrastructures,1846947,100
Jabberbean,02/09/2023,Discovery,Ameliorated optimal workforce,enable intuitive paradigms,1260402,80
Lazzy,01/31/2022,Open,Organized real-time pricing structure,extend granular interfaces,2665700,20
Edgetag,12/04/2022,Upside,Quality-focused client-driven array,disintermediate interactive initiatives,7705065,80
Photospace,07/10/2022,Lost,Organized well-modulated neural-net,e-enable sticky vortals,7473877,100
Skyvu,03/06/2023,Discovery,Pre-emptive real-time secured line,exploit distributed web-readiness,2355468,60
Npath,08/04/2022,Lost,Enterprise-wide 5th generation hardware,cultivate revolutionary communities,8053973,80
Fiveclub,02/03/2022,Won,Networked transitional firmware,architect world-class relationships,8589343,20
Gabtune,06/22/2022,Won,Vision-oriented bandwidth-monitored capacity,strategize cross-platform models,7685120,60
Riffpath,11/12/2022,Discovery,Ergonomic non-volatile concept,reinvent global action-items,3666291,80
Voolith,05/18/2022,Upside,Front-line dedicated paradigm,target turn-key models,7208380,40
Dazzlesphere,12/04/2022,Upside,Visionary 4th generation process improvement,syndicate robust models,2055783,100
Twitterwire,01/13/2022,Open,Polarised fault-tolerant Graphical User Interface,morph collaborative e-services,8454684,100
Eazzy,05/27/2022,Commit,Mandatory homogeneous hardware,productize dot-com schemas,6273307,60
Eayo,03/06/2023,Discovery,Horizontal value-added functionalities,generate interactive interfaces,5275266,100
Youspan,08/25/2022,Lost,Persistent demand-driven implementation,extend sticky metrics,9537481,100
Tagfeed,09/18/2022,Upside,Synergistic holistic system engine,morph B2B mindshare,5988945,40
Realcube,01/22/2023,Lost,Synergized impactful installation,incubate front-end experiences,5252272,60
Skinder,02/15/2023,Upside,Horizontal dedicated capability,engineer collaborative partnerships,9607094,100
Kare,01/24/2023,Discovery,Progressive cohesive capacity,optimize holistic metrics,4151787,60
Plambee,01/23/2023,Won,Realigned multi-tasking service-desk,synthesize visionary portals,6636384,80
Meevee,09/28/2022,Open,Centralized dedicated circuit,synthesize bricks-and-clicks users,1273413,100
Flashdog,12/04/2022,Won,Realigned radical instruction set,evolve holistic systems,4531893,40
Photobean,05/12/2022,Discovery,Grass-roots coherent support,disintermediate revolutionary vortals,685617,60
Twimbo,01/19/2022,Upside,Inverse asymmetric Graphic Interface,reinvent robust supply-chains,1738178,80
Meevee,11/22/2022,Upside,Configurable eco-centric analyzer,iterate magnetic infrastructures,2093469,60
Meeveo,03/20/2022,Discovery,Adaptive dedicated implementation,productize B2B e-business,2498894,20
BlogXS,03/17/2022,Commit,Focused responsive support,deploy magnetic e-tailers,1441568,100
Lazzy,04/28/2022,Commit,Polarised systemic groupware,repurpose back-end deliverables,2220271,40
Voonyx,03/22/2022,Discovery,Open-architected content-based analyzer,incentivize extensible markets,105418,40
Twiyo,03/21/2022,Lost,Cloned asymmetric superstructure,drive world-class solutions,1234788,80
Dynazzy,02/02/2022,Commit,Ameliorated homogeneous solution,revolutionize strategic channels,3851981,80
Trilia,01/02/2022,Commit,Multi-layered bottom-line software,aggregate enterprise ROI,4467412,20
Realcube,09/10/2022,Discovery,Monitored bandwidth-monitored function,scale granular platforms,6311923,20
Skipfire,05/27/2022,Won,Persistent 5th generation conglomeration,reintermediate wireless web-readiness,4085230,100
Npath,11/20/2022,Upside,Grass-roots grid-enabled system engine,productize next-generation channels,5802141,40
Meezzy,01/16/2023,Open,Versatile client-server synergy,whiteboard vertical markets,3739409,80
Omba,03/02/2022,Open,Decentralized tertiary functionalities,maximize seamless schemas,9798363,20
Browsecat,03/17/2022,Upside,Adaptive didactic functionalities,orchestrate cross-media e-business,3860059,60
Leexo,03/25/2022,Commit,Down-sized leading edge matrices,generate rich infrastructures,6321700,40
Realblab,11/02/2022,Commit,Secured value-added system engine,productize bleeding-edge content,5244029,100
Buzzster,01/27/2023,Won,Synergized zero defect framework,exploit viral schemas,1905070,40
Oyonder,11/20/2022,Discovery,Devolved national strategy,generate integrated users,6761530,20
Centimia,09/17/2022,Commit,Object-based maximized internet solution,embrace next-generation infrastructures,1099385,20
Gigazoom,03/13/2023,Discovery,Total content-based system engine,engage holistic niches,7871856,20
Feedmix,03/09/2022,Won,Networked coherent database,innovate strategic web-readiness,7588956,80
Gabspot,06/21/2022,Discovery,Persevering mobile hardware,facilitate B2B systems,56674,60
Tavu,06/22/2022,Won,Proactive bandwidth-monitored installation,engage intuitive web services,1020837,40
Divavu,02/03/2023,Lost,Seamless systematic function,disintermediate cross-media infrastructures,1859079,60
